#;Núm. da RI;Ordem;Equipam.;TAG (Campo);Local Instalação;Data Máx. RI;Desc. Componente;Desc. Problema;Texto descritivo da RI
1;20043998;;;;SUA.GLP.PIER01;42973;;;Conteúdo da notaPrio.: CCANCELADANenhuma ação existenteNenhuma medida existenteNenh.item existente
12;20100400;;10274632;TQ631310;NES.TA.SUAPE   .ARMAT05.CLA_TQ10;46031;PINTURA-TETO EXTERNO/ACESSÓRIOS;PINTURA LEVEMENTE DANIFICADA;"Conteúdo da notaPrio.: CTRATAR E PINTAR PROC CORROSIVOS TETONenhuma ação existenteNenhuma medida existenteITEM    1Probl.: PINTURA LEVEMENTE DANIFICADAPROCESSOS CORROSIVOS ATMOSFÉRICOSEfetuar tratamento superficial e pintura nos acessórios do tetoindicados abaixo, onde se encontram processos corrosivos ativos:- Suspiros de topo (todos): no corpo, juntas flangeadas, alças e turcos  de abertura, e nas telas de fechamento;- Suporte do medidor de nível LIT-6313010: base, corpo, tampa, juntas  flangeadas e acessórios.Seguir esquema de pintura da 'Condição 7' da PETROBRAS N-2913 e demaisrequisitos desta norma.ParteObjet PINTURA-TETO EXTERNO/ACESSÓRIOSCausa:FALHA DO REVESTIMENTO DE PROTEÇÃO"
13;20100403;;10274632;TQ631310;NES.TA.SUAPE   .ARMAT05.CLA_TQ10;46031;COSTADO EXTERNO-ESCADAS;PROCESSO CORROSIVO;Conteúdo da notaPrio.: CTRATAR E PINTAR PROC CORROSIVOS ESCADANenhuma ação existenteNenhuma medida existenteITEM    1Probl.: PROCESSO CORROSIVOPROCESSOS CORROSIVOS ATMOSFÉRICOSEfetuar tratamento superficial e pintura na escada helicoidal eplataforma da câmara de espuma onde se encontram processos corrosivosdispersos por todos os componentes: perfis estruturais, degraus, chapasde piso e corrimão.A maior ocorrência dos pontos afetados está nas regiões das ligaçõessoldadas e na parte inferior das estruturas.Seguir esquema de pintura da 'Condição 1' da PETROBRAS N-1550 e demaisrequisitos desta norma.ParteObjet COSTADO EXTERNO-ESCADASCausa:FALHA DO REVESTIMENTO DE PROTEÇÃO
14;20100409;;10274632;TQ631310;NES.TA.SUAPE   .ARMAT05.CLA_TQ10;46031;COSTADO EXTERNO-SCI-TUBULAÇÕES;PROCESSO CORROSIVO;Conteúdo da notaPrio.: CTRATAR/PINTAR PROC CORROSIVOS CÂMARA SCINenhuma ação existenteNenhuma medida existenteITEM    1Probl.: PROCESSO CORROSIVOPROCESSOS CORROSIVOS ATMOSFÉRICOSEfetuar tratamento superficial e pintura na câmara de espuma do SCI:corpo, tampa e acessórios de conexão com o costado do tanque.Seguir esquema de pintura da 'Condição 2' da PETROBRAS N-442 e demaisrequisitos desta norma.ParteObjet COSTADO EXTERNO-SCI-TUBULAÇÕESCausa:FALHA DO REVESTIMENTO DE PROTEÇÃO
15;20100410;;10274632;TQ631310;NES.TA.SUAPE   .ARMAT05.CLA_TQ10;46031;TETO FIXO-EXTERNO-GUARDA-CORPO;PROCESSO CORROSIVO;Conteúdo da notaPrio.: CTRATAR/PINTAR CORROSÃO CORRIMÃO DO TETONenhuma ação existenteNenhuma medida existenteITEM    1Probl.: PROCESSO CORROSIVOPROCESSOS CORROSIVOS ATMOSFÉRICOSEfetuar tratamento superficial e pintura em pontos dispersos doguarda-corpo do teto afetados por processos corrosivos.Seguir esquema da 'Condição 1' da PETROBRAS N-1550 e demais requisitosdesta norma.ParteObjet TETO FIXO-EXTERNO-GUARDA-CORPOCausa:FALHA DO REVESTIMENTO DE PROTEÇÃO
16;20105497;;10321429;LINEXT DIESEL 500 NAVIOS;NES.TA.SUAPE   .LINPROD.CLA_EXT;46052;LINHA-ESTRUTURAS METÁLICAS;PROCESSO CORROSIVO;"Conteúdo da notaPrio.: BREP PINTURA VIGAS PIPERACKAção  ConservaçãoNenhuma medida existenteITEM    1Probl.: PROCESSO CORROSIVOTratar e pintar as vigas dos 2 níveis (linhas de escuros e linhas declaros) do piperack entre a travessia da Av. Portuária e o CMU:PS-016-045; PS-016-023; PS-016-022; PS-016-020; PS-016-013;PS-016-010NOTA: tratamento e pintura conforme itens 3 e 4.2 da norma N-1550.REFERÊNCIA: piperack da Av. Portuária até CMU. DesenhosDE-4450.10-6100-200-DIU-016 ver V (folha 01/02 e folha 02/02) eDE-4450.10-6100-200-DIU-017 ver V (folha 01/02 e folha 02/02).ParteObjet LINHA-ESTRUTURAS METÁLICAS"
17;20046058;;10274632;TQ631310;SUA.CLA.ARMZNT.TQ-631310;46055;BASE-ANEL DE CONCRETO;TRINCA;Conteúdo da notaPrio.: PTRINCA ANEL E BASE DE CONCRETO(PARADA)Nenhuma ação existenteNenhuma medida existenteITEM    1Probl.: TRINCASanar trinca entre o anel e a base de concreto.ParteObjet BASE-ANEL DE CONCRETO
18;20105770;;10319268;LINEXT PETROLEO;NES.TA.SUAPE   .LINPROD.PET_EXT;46056;LINHA-TUBULAÇÃO;OUTROS;"Conteúdo da notaPrio.: BSUBSTITUIR OU RECUP TOMADA PSVAção  ReparoNenhuma medida existenteITEM    1Probl.: OUTROSITEM 01) Substituir tomada da PSV470804016 que seencontram com reparo provisório tipo Belzona, a montante do bloqueio;ITEM 02) Após serviços de caldeiraria, realizar tratamento e pintura dastubulações e acessórios conforme condição 4 e item 3.2 da norma N-442.ITEM 03) Instalar torofita na região flageada a montante e a jusante daPSV470804016.NOTAS:- Soldagem conforme Norma Petrobras N-133 e IEIS específica.- Materiais conforme Norma Petrobras N-76, padrão Ba;- Fabricação, montagem e controle de qualidade conforme Norma PetrobrasN-115, tabela A.2;RECURSO NECESSÁRIO: parada operacional e drenagem de considerável trechoda tubovia; inertização ou bloqueio de vapores a montante da tomada daPSV.REFERÊNCIA: localizada na entrada do PGL3AParteObjet LINHA-TUBULAÇÃO"
19;20090130;52562620;10358318;LINTER GLP SCRAPPER 2;NES.TA.SUAPE   .LINPROD.GLP_INT;46058;LINHA-ESTRUTURAS METÁLICAS;PROCESSO CORROSIVO;"Conteúdo da notaPrio.: DREAV1 - Substitui RI 20082274 e 20082276Ação  ReparoNenhuma medida existenteITEM    1Probl.: PROCESSO CORROSIVORECUPERAR, TRATAR E PINTAR TODAS AS ESTRUTURAS METÁLICAS DO PIPERACKINCLUINDO SUPORTES DAS ELETROCALHASITEM 1) Recuperar regiões e componentes com corrosão severa,substituindo inclusive elementos de fixação;ITEM 2) Tratar todas as superfícies com tratamento por jateamentoabrasivo ou hidrojateamento WJ-1 conforme item 3.4.4 da norma PetrobrasN-9;ITEM 3) Pintar todas as superfícies conforme norma Petrobras N-1550,condição 1 (item 4.1).REFERÊNCIA: Todos os perfis metálicos, colunas, vigas, bases, chapas edemais componentes do piperack, inclusive cantoneiras de fixação daseletrocalhas, localizados dentro da antiga BR Distribuidora (atualVIBRA), do suporte PS-005-011 até o PS-013-013.DESENHOS: DE-4450.10-6100-200-DIU-005 rev K; DE-4450.10-6100-200-DIU-013rev T.Esta RI substitui as RIs 20082274 e 20082276, alterando o escopo deserviço, com base na inspeção registrada no relatório de inspeçãoextraordinária IN 60091493.ParteObjet LINHA-ESTRUTURAS METÁLICAS"
20;20101074;;10163559;TQ631303;NES.TA.SUAPE   .ARMAT02.CLA_TQ03;46059;BACIA DE CONTENÇÃO-PLATAFORMA;PROCESSO CORROSIVO;Conteúdo da notaPrio.: CCorrosão escadas de acesso e plataformasNenhuma ação existenteNenhuma medida existenteITEM    1Probl.: PROCESSO CORROSIVORealizar tratamento de superfície e pintura nas regiões das escadas deacesso e plataformas localizadas dentro da bacia do tanque, incluindo aescada de acesso localizada entre o TQ-631303 e TQ-631304, as quaisapresentam processo corrosivo, conforme exemplificado nas fotos 07, 08,59 e 60 do anexo fotográfico do relatório de inspeção 60096712.Realizar tratamento serviço conforme N-1550.ParteObjet BACIA DE CONTENÇÃO-PLATAFORMA
21;20101145;;10163559;TQ631303;NES.TA.SUAPE   .ARMAT02.CLA_TQ03;46059;COSTADO EXTERNO-SCI-CÂMARAS ESPUMA;PROCESSO CORROSIVO;Conteúdo da notaPrio.: CCorrosão câmaras de espumaNenhuma ação existenteNenhuma medida existenteITEM    1Probl.: PROCESSO CORROSIVORealizar tratamento de superfície e pintura nas câmaras de espuma e nasregiões das conexões com o costado, nos locais que apresentarem processocorrosivo, incluindo flanges, estojos, parafusos e porcas, conformeexemplificado nas fotos 51 e 52 do anexo fotográfico do relatório deinspeção 60096712.ParteObjet COSTADO EXTERNO-SCI-CÂMARAS ESPUMA
22;20101147;;10163559;TQ631303;NES.TA.SUAPE   .ARMAT02.CLA_TQ03;46059;TETO FIXO-EXTERNO-VALV. PRESS. VÁCUO;PROCESSO CORROSIVO;"Conteúdo da notaPrio.: CCorrosão VAPVNenhuma ação existenteNenhuma medida existenteITEM    1Probl.: PROCESSO CORROSIVORealizar tratamento de superfície e pintura nas regiões das VAPVs queapresentam processo corrosivo, incluindo corpo, estojos, e flanges, osquais apresnetam processo corrosivo, conforme mostrado nas fotos 47, 48e 49 do anexo fotográfico do relatório de inspeção 60096712.Além disso, corrigir a identificação das duas VAPVs do tanque, de acordocom o tag que está definido no SAP (o tag da placa fixada ao corpo daVAPV está errado, conforme mostra a foto 50 do anexo fotográfico dorelatório de inspeção 60096712.A nova identificação necessita ser fixada em local visível e cominformações legíveis e indelével. A identificação atual e deverá sercorrigida, coberta ou removida.#PREPARAÇÃO DE SUPERFÍCIE E PINTURATratamento da Superfície- Preparar a superfície conforme o item 3.5 e 3.6 da Norma PetrobrasN-442.- Utilizar métodos que permitam a abertura do perfil de rugosidade de 50a 100 micrometros (jato abrasivo seco/úmido ou hidrojeteamento comabrasivos).- Alternativamente o tratamento pode ser feito através de ferramentasmecânico-rotativas tipo ""wire bristle impact"" ou ""rotary flap"", conformeSSPC SP11. Desde se atinja o grau de limpeza e rugosidades determinadospelo padrão SSPC SP11. Deve ser avaliada as condições técnicas eeconômicas para realizar este tipo de tratamento.- Atentar para os critérios das tabelas 1 e 2 da norma N-9, narealização da preparação, mesmo que seja escolhido o SSPC SP11.- Realizar e registrar as medições de rugosidade a cada metro linear detubulação.- Se a pintura for realizada em campo, utilizar o inibidor de flash rustdescrito no item 4.2.2 da norma N-9.Pintura- Aplicar a pintura conforme a Condição 3 da norma N-442.-Tinta de fundo: Aplicar demão única com espessura mínima de películaseca de 300 micrometros do revestimento tipo II especificado naPETROBRAS N-2912, obrigatoriamente por meio de pistola sem ar.- Tinta de acabamento: Aplicar uma demão de tinta de poliuretanoacrílico, conforme especificada na PETROBRAS N-2677, por meio de pistolasem ar ou trincha, com espessura mínima de película seca de 70micrometros.- Aplicar a tinta de fundo no menor tempo possível após o tratamento dasuperfície.- Respeitar criteriosamente os tempos de secagem e entre demãos dofabricante das tintas. Na ausência dessas informações, usar os temposdescritos na norma da tinta.- A alternativa de utilizar a tinta de fundo N-2630 não se aplica a esteserviço.ParteObjet TETO FIXO-EXTERNO-VALV. PRESS. VÁCUO"
23;20096573;;10328678;TQ532306;NES.TA.SUAPE   .PIER02 .SRO_TQ06;46060;BASE-CHAPAS DE APOIO;OUTROS DEFEITOS;"Conteúdo da notaPrio.: CCALDER-PINT defletor de águas pluviaisNenhuma ação existenteNenhuma medida existenteITEM    1Probl.: OUTROS DEFEITOSLOCALIZAÇÃO: Defletor de águas pluviais.CALDEIRARIA- Adequar o defletor de águas pluviais, conforme a figura B.3 da N-270;- O defletor de águas pluviais deverá possuir declividade para aperiferia, de forma a evitar acúmulo de água de chuva;- O defletor de águas pluviais deverá possuir disposição que cubra todaa base de concreto;- O defletor de águas pluviais deverá possuir uma distância mínima de40mm da base de concreto;TRATAMENTO DE SUPERFÍCIE- Preparar a superfície, do defletor de águas pluviais, conforme o item3.1.4 e 3.1.5 da Norma Petrobras N-2913;- Utilizar métodos que permitam a abertura do perfil de rugosidade de 50a 100 micrometros (jato abrasivo seco/úmido ou hidrojeteamento comabrasivos);- Atender os critérios das tabelas 1 e 2 da norma N-9, na realização dapreparação;- Realizar e registrar as medições de rugosidade;- Se a pintura for realizada em campo, utilizar o inibidor de flash rustdescrito no item 4.2.2 da norma N-9.PINTURA- Aplicar a pintura, do defletor de águas pluviais, conforme a Condição10 da norma N-2913;- TINTA DE FUNDO: Aplicar demão única com espessura mínima de películaseca de 300 micrometros do revestimento tipo II, especificado naPETROBRAS N-2912, obrigatoriamente por meio de pistola sem ar. Ointervalo entre as demãos deve ser de, no mínimo, 16 horas e, no máximo,48 horas;- Aplicar a tinta de fundo no menor tempo possível após o tratamento dasuperfície;- TINTA DE ACABAMENTO: Aplicar uma demão de tinta de poliuretanoacrílico, conforme especificada na PETROBRAS N-2677, por meio de pistolasem ar ou trincha, com espessura mínima de película seca de 70micrometros;- Respeitar criteriosamente os tempos de secagem e entre demãos dofabricante das tintas. Na ausência dessas informações, usar os temposdescritos na norma da tinta;- A alternativa de utilizar a tinta de fundo N-2680 não se aplica a esteserviço;- Realizar todos os testes e emitir os relatórios de controle dequalidade previstos nas normas N-9 e N-13.NOTA¯¯¯¯Esta recomendação de inspeção substitui a RI 20088260 da IN 60088089,sendo mantido seu escopo.ParteObjet BASE-CHAPAS DE APOIO"
24;20096574;;10328678;TQ532306;NES.TA.SUAPE   .PIER02 .SRO_TQ06;46060;COSTADO EXTERNO-ESCADAS;OUTROS;"Conteúdo da notaPrio.: CCALDER-PINT escada verticalNenhuma ação existenteNenhuma medida existenteITEM    1Probl.: OUTROSLOCALIZAÇÃO: Costado do tanque.CALDEIRARIA- Fabricar e instalar escada vertical tipo marinheiro e guarda-corpo;- A escada vertical tipo marinheiro e guarda-corpo devem ser fabricadose instalados, conforme figura A.1 da N-279, bem como devem ser seguidasas recomendações desta norma e da N-293;- A escada vertical deve ser montada utilizando a suportação existenteno costado;- A escada vertical deve ser chumbada em base de concreto armado dentroda bacia de contenção do tanque;CIVIL- A fabricação da base de concreto armado, bem como o grauteamento damesma deve seguir as recomendações da N-1644;- Os tipos de chumbadores e sua instalação deve seguir as recomendaçõesda N-0134;TRATAMENTO DE SUPERFÍCIE- Preparar a superfície, da escada vertical tipo marinheiro eguarda-corpo, conforme o item 3.4 e 3.6 da Norma Petrobras N-1550;- Utilizar métodos que permitam a abertura do perfil de rugosidade de 50a 100 micrometros (jato abrasivo seco/úmido ou hidrojateamento comabrasivos);- Atender os critérios das tabelas 1 e 2 da norma N-9, na realização dapreparação;- Realizar e registrar as medições de rugosidade;- Se a pintura for realizada em campo, utilizar o inibidor de flash rustdescrito no item 4.2.2 da norma N-9.PINTURA- Aplicar a pintura, na escada vertical tipo marinheiro e guarda-corpo,conforme a Condição 2 da norma N-1550;- TINTA DE FUNDO: Aplicar uma demão de tinta de fundo epóxi rica emzinco, conforme especificada na PETROBRAS N-1277, por meio de rolo,trincha ou pistola sem ar. A espessura mínima de película secadeve ser de 70 µm. O intervalo para aplicação da tinta de acabamentodeve ser de, no mínimo, 18 horas e, no máximo, 24 horas;- Aplicar a tinta de fundo no menor tempo possível após o tratamento dasuperfície;- TINTA DE ACABAMENTO: Aplicar uma demão de revestimento poliaspártico,conforme especificado na PETROBRAS N-2943 aplicada por meio de rolo,trincha ou pistola sem ar, com espessura mínima de película seca de 150µm;- Respeitar criteriosamente os tempos de secagem e entre demãos dofabricante das tintas. Na ausência dessas informações, usar os temposdescritos na norma da tinta;- A alternativa de utilizar a tinta de fundo N-2680 não se aplica a esteserviço;- Realizar todos os testes e emitir os relatórios de controle dequalidade previstos nas normas N-9 e N-13.NOTA¯¯¯¯Esta recomendação de inspeção substitui a RI 20088392 da IN 60088089,sendo mantido seu escopo.ParteObjet COSTADO EXTERNO-ESCADAS"
25;20096575;;10328678;TQ532306;NES.TA.SUAPE   .PIER02 .SRO_TQ06;46060;COSTADO EXTERNO-CHAPAS;OUTROS;"Conteúdo da notaPrio.: CINST-CAIXA MED. ESP. costado do tanqueNenhuma ação existenteNenhuma medida existenteITEM    1Probl.: OUTROSLOCALIZAÇÃO: Costado do tanque.INSTALAÇÃO DE CAIXAS NO ISOLAMENTO TÉRMICO- Realizar três aberturas no isolamento térmico rígido do costado;- As aberturas devem ter 200mm x 200mm de área de forma a possibilitartotal acesso a chapa do costado;- Duas aberturas devem estar paralelas com a escada vertical aaproximadamente a 1m do fundo e 1m do teto, respectivamente, já aterceira abertura deve estar diametralmente oposta a escada vertical e a1m do fundo;- As aberturas devem ser localizadas no centro do quadrante da fitametálica que sustenta o isolamento;- A caixa será formada pela extração do silicato de cálcio e respectivachapa de alumínio;- A tampa será formada pelo silicato de cálcio extraído fixado, atravésde cintas metálicas, a uma chapa de alumínio classe A (lisa) de 0,8 mmde espessura e dimensão 300mm x 300mm;- A tampa deverá ser fixada à chapa de alumínio do isolamento térmico,através de parafusos auto-roscantes de cabeça panela com fenda, bem comovedada com selante não secativo;- As regiões recortadas do isolamento térmico devem ser reforçadas comchapas de alumínio classe A (lisas) de 0,8 mm de espessura, recortadas,sobrepostas e rebitadas em função da geometria da respectiva abertura.NOTA¯¯¯¯Esta recomendação de inspeção substitui a RI 20088658 da IN 60088089,sendo mantido seu escopo.ParteObjet COSTADO EXTERNO-CHAPAS"
